timestamp,dpid,src_ip,distinct_dports,distinct_dst_ips,new_flows_per_s,active_flows,pkts_per_s,bytes_per_s,avg_bytes_per_flow,single_pkt_flow_ratio,packet_in_per_s
1788187177.769,1,10.0.0.12,5,1,1.80,14,12.40,1257.20,449.0,0.000,4.50
1788187177.772,2,10.0.0.11,4,1,1.60,0,0.00,0.00,0.0,0.000,0.00
1788187177.772,2,10.0.0.13,0,0,0.00,1,641.80,137345.20,686726.0,0.000,0.00
1788187177.772,2,10.0.0.12,5,1,1.80,0,0.00,0.00,0.0,0.000,0.00
1788187177.772,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,0.00
1788187179.773,2,10.0.0.11,4,1,1.40,0,0.00,0.00,0.0,0.000,1.50
1788187179.773,2,10.0.0.13,0,0,0.00,1,658.40,140897.60,704488.0,0.000,1.50
1788187179.773,2,10.0.0.12,5,1,1.60,0,0.00,0.00,0.0,0.000,1.50
1788187179.773,2,10.0.0.200,0,0,0.00,2,0.00,0.00,0.0,1.000,1.50
1788187179.774,1,10.0.0.11,4,1,1.40,13,11.00,1086.80,418.0,0.000,0.00
1788187179.774,1,10.0.0.13,0,0,0.00,1,658.40,140897.60,704488.0,0.000,0.00
1788187179.774,1,10.0.0.12,5,1,1.60,12,11.00,1122.00,467.5,0.000,0.00
1788187181.773,1,10.0.0.11,4,1,1.20,16,13.60,1323.20,413.5,0.000,3.50
1788187181.773,1,10.0.0.13,0,0,0.00,1,680.20,145562.80,727814.0,0.000,3.50
1788187181.773,1,10.0.0.12,5,1,1.80,14,13.00,1302.80,465.3,0.000,3.50
